festival.id,fest.name,fest.label,event,event.year,event.month,event.date,event.country,unique.id,title.mixed,fest.count,fest.run.month,fest.regions.ocean,fest.regions.mena,fest.regions.africa,fest.regions.asia,fest.regions.na,fest.regions.eu,fest.regions.la,fest.country.n,only.fest,thr,digital,tv,dvd.br,imdb.id,gender.team
fest.lib.id665,frameline film festival,frameline,san francisco international lgbt film festival,2011,6,19,United States,frnew153,making christmas: the view from the tom and jerry christmas tree,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1881003,at least one unknown name
fest.lib.id5924,san antonio film festival,san antonio,san antonio film festival,2011,6,20,United States,frnew153,making christmas: the view from the tom and jerry christmas tree,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1881003,at least one unknown name
fest.lib.id.na4,afi dallas international film festival,afi dallas international,dallas international film festival,2011,4,NA,United States,frnew154,mangus!,4,7,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1571406,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,25,United States,frnew154,mangus!,4,7,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1571406,at least one unknown name
fest.lib.id1342,outfest los angeles lgbtq film festival,outfest los angeles lgbtq,los angeles outfest gay and lesbian film festival) (premiere,2011,7,9,United States,frnew154,mangus!,4,7,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1571406,at least one unknown name
fest.lib.id7034,tallgrass film festival,tallgrass,tallgrass film festival,2011,10,22,United States,frnew154,mangus!,4,7,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1571406,at least one unknown name
imdbady01276,out on screen vancouver international film festival,out on screen vancouver international,vancouver queer film festival,2010,8,13,Canada,frnew160,ms. thing,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1693761,female only
fest.lib.id206,bfi london lesbian and gay film festival,bfi london lesbian and gay,bfi london lesbian and gay film festival,2011,4,4,United Kingdom,frnew163,"night watch, the",7,15,0,0,0,0,0,1,0,7,0,0,0,0,1,tt1789074,at least one unknown name
fest.lib.id.ch859,inside out ottawa lgbt film festival,inside out ottawa lgbt,inside/out toronto gay and lesbian film festival,2011,4,29,Canada,frnew163,"night watch, the",7,15,0,0,0,0,1,0,0,7,0,0,0,0,1,tt1789074,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,17,United States,frnew163,"night watch, the",7,15,0,0,0,0,1,0,0,7,0,0,0,0,1,tt1789074,at least one unknown name
id238,paris gay and lesbian film festival,paris gay and lesbian,paris gay and lesbian film festival,2011,10,15,France,frnew163,"night watch, the",7,15,0,0,0,0,0,1,0,7,0,0,0,0,1,tt1789074,at least one unknown name
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2011,10,22,Denmark,frnew163,"night watch, the",7,15,0,0,0,0,0,1,0,7,0,0,0,0,1,tt1789074,at least one unknown name
imdbady00622,festival großes fernsehen,großes fernsehen,festival großes fernsehen,2012,3,10,Germany,frnew163,"night watch, the",7,15,0,0,0,0,0,1,0,7,0,0,0,0,1,tt1789074,at least one unknown name
fest.lib.id636,fire!! mostra internacional de cinema gay i lesbia de barcelona,fire!! mostra internacional de cinema gay i lesbia de barcelona,fire!! mostra internacional de cinema gay i lesbià de barcelona,2012,7,6,Spain,frnew163,"night watch, the",7,15,0,0,0,0,0,1,0,7,0,0,0,0,1,tt1789074,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,NA,United States,frnew164,no direction,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1748135,female only
fest.lib.id6635,l.a. shorts fest,l.a. shorts fest,los angeles international short film festival,2011,7,NA,United States,frnew164,no direction,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1748135,female only
fest.lib.id.na333,new fest,new fest,"newfest, new york: ny lgbt film festival",2011,7,NA,United States,frnew164,no direction,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1748135,female only
fest.lib.id7554,philadelphia film festival,philadelphia,philadelphia cinefest,2011,4,8,United States,frnew166,"one, the",2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,tt1681371,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline san francisco international lgbt film festival,2011,6,25,United States,frnew166,"one, the",2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,tt1681371,at least one unknown name
fest.lib.id7532,brisbane film festival,brisbane,brisbane film festival,2010,11,6,Australia,frnew167,orchids: my intersex adventure,5,23,1,0,0,0,0,0,0,5,0,0,0,0,0,tt1757830,female only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,25,United States,frnew167,orchids: my intersex adventure,5,23,0,0,0,0,1,0,0,5,0,0,0,0,0,tt1757830,female only
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2011,10,25,Denmark,frnew167,orchids: my intersex adventure,5,23,0,0,0,0,0,1,0,5,0,0,0,0,0,tt1757830,female only
id238,paris gay and lesbian film festival,paris gay and lesbian,paris gay and lesbian film festival,2012,10,17,France,frnew167,orchids: my intersex adventure,5,23,0,0,0,0,0,1,0,5,0,0,0,0,0,tt1757830,female only
fest.lib.id1853,women make waves film festival,women make waves,women make waves film festival,2012,10,17,Taiwan,frnew167,orchids: my intersex adventure,5,23,0,0,0,1,0,0,0,5,0,0,0,0,0,tt1757830,female only
